Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income
0,11.0,3,7,1,5,16.0,14.0,11.43,12.0,18,76,13,33,57,6,15,21,A,1,79.0,M,H,107272.0
1,11.0,4,12,3,6,10.0,11.0,9.83,11.33,16,68,12,31,58,5,15,22,S,1,60.0,M,H,107272.0
1,11.0,1,10,0,5,21.0,21.0,8.4,11.67,17,130,12,24,58,5,5,26,A,1,68.0,M,H,66090.0
1,11.0,5,23,3,14,3.0,3.4,3.17,3.67,16,128,11,29,66,5,12,26,S,1,76.0,M,H,66090.0
0,11.0,3,23,6,13,3.0,3.67,3.43,3.67,17,75,12,32,55,6,17,23,S,1,67.0,M,U,44284.5
0,11.0,2,9,1,17,25.0,25.0,9.44,11.0,17,126,12,29,49,5,20,19,A,1,27.0,M,H,66090.0
0,11.0,1,4,1,3,25.0,25.0,16.25,11.0,17,57,13,32,45,6,15,17,A,0,60.0,M,U,44284.5
0,11.0,1,1,0,0,15.0,15.0,15.0,11.67,16,16,11,16,13,4,4,5,F,0,43.0,F,H,73671.0
0,11.0,6,16,3,9,10.0,8.0,7.06,6.67,17,81,13,33,61,6,16,25,S,1,65.0,F,U,44284.5
1,11.0,2,4,1,1,15.0,12.5,10.0,15.0,16,44,12,29,33,5,12,13,A,0,6.0,F,H,67047.0
1,11.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,29,14,5,5,5,F,0,69.0,F,U,67047.0
1,11.0,2,9,2,6,15.0,15.0,12.22,15.0,25,86,14,34,54,6,16,24,A,0,60.0,M,U,76594.0
1,11.0,6,22,3,12,14.0,12.33,8.77,12.33,15,130,14,32,77,6,15,32,S,1,67.0,M,H,76594.0
0,11.0,4,5,3,3,20.0,10.25,9.6,10.0,22,35,12,32,34,6,16,14,A,0,35.0,M,H,76594.0
1,11.0,2,7,1,2,10.0,12.5,9.0,15.0,17,45,12,29,62,6,15,16,A,0,60.0,M,H,106020.0
1,11.0,2,9,1,6,15.0,15.5,9.56,16.0,26,81,10,30,54,5,16,23,A,1,71.0,F,U,44284.5
0,11.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,11,16,14,4,6,5,F,0,51.0,F,H,106020.0
0,11.0,4,19,2,12,5.0,9.25,6.68,9.0,16,129,12,29,69,6,15,30,S,1,85.0,F,H,106020.0
1,11.0,3,25,5,14,10.0,8.0,5.88,8.0,21,104,12,32,72,6,17,29,S,1,70.0,F,H,40165.0
0,11.0,7,9,4,4,10.0,8.57,7.78,8.5,17,44,12,27,33,4,13,13,S,1,60.0,F,U,44284.5
0,11.0,2,7,1,2,25.0,10.0,10.71,10.0,18,69,13,31,50,6,14,18,A,0,60.0,M,H,44284.5
1,11.0,1,4,1,1,20.0,13.0,22.5,11.0,10,17,12,33,32,5,7,6,F,0,60.0,F,H,89773.0
1,11.0,4,7,2,4,12.0,12.75,11.0,12.0,17,45,13,33,39,6,17,17,S,1,50.0,M,H,89773.0
0,11.0,3,23,2,11,14.0,13.0,10.0,11.0,16,110,12,29,112,6,17,33,S,1,60.0,M,H,87767.0
1,11.0,5,18,5,11,5.0,3.6,3.06,3.6,15,107,10,27,60,4,11,25,A,1,62.0,F,U,87767.0
0,11.0,1,7,0,6,20.0,20.0,18.57,11.67,17,104,13,31,65,6,6,27,A,0,53.0,F,H,87767.0
0,11.0,1,4,1,3,20.0,20.0,23.75,20.0,17,76,13,26,50,6,12,19,A,1,69.0,M,H,87767.0
0,11.0,3,4,2,3,20.0,20.0,17.5,20.0,25,42,11,32,33,6,16,15,A,0,60.0,F,U,44284.5
1,11.0,1,2,1,1,10.0,16.0,13.0,16.0,15,17,14,18,16,5,7,6,N,0,66.0,M,H,87767.0
0,11.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,12,17,16,5,7,6,N,0,53.0,F,H,118487.0
1,11.0,1,3,0,1,25.0,13.0,10.0,11.67,18,44,13,35,41,6,6,17,A,0,43.0,M,H,72452.0
0,11.0,2,4,0,1,15.0,15.0,13.0,11.67,26,45,9,30,35,4,4,15,A,0,49.0,F,H,59240.0
1,11.0,3,9,1,5,7.0,10.31,8.29,10.25,17,93,12,29,49,5,22,42,S,1,60.0,F,H,54341.0
1,11.0,1,1,1,1,25.0,25.0,25.0,11.0,21,21,11,18,17,5,8,7,F,0,42.0,F,H,54341.0
0,11.0,3,10,1,5,12.0,13.0,9.0,18.0,18,68,12,29,68,5,18,25,L,0,67.0,F,U,44284.5
1,11.0,2,2,1,1,15.0,12.5,12.5,10.0,18,28,11,24,22,4,10,9,A,0,41.0,M,H,42613.0
1,11.0,6,8,4,5,10.0,5.33,5.63,5.0,17,40,13,32,31,6,15,14,S,1,72.0,F,H,42613.0
0,11.0,2,2,2,2,14.0,13.0,10.0,11.0,21,29,13,27,25,6,13,11,A,0,65.0,M,H,42613.0
0,11.0,1,1,0,0,20.0,20.0,20.0,11.67,20,20,10,16,16,4,4,5,F,0,67.0,M,H,58282.0
1,11.0,1,1,1,1,20.0,20.0,20.0,20.0,21,21,10,17,15,4,7,6,F,0,60.0,F,U,40014.0
0,11.0,1,1,0,0,20.0,20.0,20.0,11.67,15,15,10,29,12,5,5,6,F,0,60.0,M,U,93202.0
0,11.0,1,5,1,4,30.0,30.0,16.0,11.0,17,93,13,30,53,6,14,22,A,0,35.0,M,H,122794.0
1,11.0,2,4,1,2,27.0,27.0,22.25,11.0,24,81,12,32,47,6,16,19,A,0,17.0,M,H,122794.0
1,11.0,6,7,4,4,8.0,7.67,7.43,7.0,17,28,13,24,24,6,12,10,A,1,73.0,F,H,122794.0
1,11.0,5,20,3,14,7.0,6.4,6.25,6.33,16,116,13,31,75,5,12,28,S,1,50.0,M,H,70182.0
0,11.0,2,3,2,2,10.0,27.5,21.67,11.0,18,33,12,30,29,6,14,12,A,0,60.0,M,U,60513.0
0,11.0,1,2,1,1,6.0,25.0,15.5,11.0,15,17,12,17,15,5,7,6,N,0,43.0,F,H,59456.0
1,11.0,2,5,0,2,17.0,16.0,10.4,11.67,24,75,10,29,49,4,4,18,A,0,44.0,F,H,59456.0
0,11.0,4,9,1,4,20.0,13.75,10.67,10.0,16,65,15,36,52,6,16,19,S,1,55.0,F,U,44284.5
1,11.0,5,14,3,8,5.0,4.8,5.29,4.33,20,92,13,34,71,6,16,27,A,1,75.0,F,H,80104.0
1,11.0,7,25,2,15,5.0,8.57,9.36,10.0,18,121,12,29,108,5,22,41,S,1,69.0,M,U,44284.5
1,11.0,2,3,1,2,20.0,15.0,11.67,10.0,18,43,12,31,32,6,14,13,A,0,59.0,M,H,74919.0
0,11.0,1,6,0,4,23.0,23.0,17.17,11.67,17,113,12,29,38,5,2,14,A,0,81.0,M,H,74919.0
0,11.0,1,1,1,1,25.0,25.0,25.0,11.0,21,21,11,18,16,5,8,7,F,0,40.0,F,H,74919.0
0,11.0,1,1,1,1,15.0,15.0,15.0,15.0,21,21,8,29,13,5,6,5,F,0,51.0,M,U,44284.5
1,11.0,2,2,2,2,15.0,10.0,10.0,10.0,16,31,12,25,23,4,9,8,A,0,33.0,F,U,56686.0
0,11.0,1,1,0,0,20.0,20.0,20.0,11.67,16,16,12,17,14,5,5,6,F,0,36.0,F,H,56686.0
1,11.0,2,18,1,9,5.0,6.0,5.11,7.0,15,113,13,32,71,5,13,27,S,1,60.0,M,U,60152.0
0,11.0,3,9,1,5,5.0,5.64,6.03,5.5,17,130,13,31,78,6,17,32,S,1,58.0,F,H,68588.0
1,11.0,5,11,2,6,8.0,8.6,7.64,9.0,18,75,13,33,54,6,15,20,A,0,67.0,F,H,55094.0
0,11.0,1,1,1,1,20.0,20.0,20.0,20.0,16,16,11,16,14,5,7,6,F,0,57.0,F,H,83386.0
0,11.0,1,1,1,1,15.0,15.0,15.0,15.0,16,16,11,16,13,4,6,5,F,0,45.0,M,H,56694.0
0,11.0,3,25,1,9,10.0,6.67,8.2,5.0,18,103,9,23,63,4,11,24,S,1,43.0,F,U,66661.0
1,11.0,7,9,6,5,7.0,5.57,4.82,5.67,17,124,12,30,74,6,17,32,S,1,80.0,M,H,66661.0
1,11.0,1,6,0,4,15.0,15.0,8.67,11.67,25,87,9,29,50,4,4,21,A,1,60.0,F,U,44284.5
0,11.0,2,3,1,1,15.0,12.5,10.0,15.0,17,41,10,28,29,4,11,11,A,0,34.0,F,U,44284.5
1,11.0,3,4,1,2,20.0,21.67,18.75,20.0,25,41,12,33,38,6,16,15,A,0,58.0,M,U,44284.5
0,11.0,0,1,0,0,15.0,0.0,15.0,11.67,22,22,12,29,12,5,3,5,N,0,62.0,F,H,81018.0
1,11.0,2,2,1,1,15.0,10.0,10.0,5.0,17,32,10,23,21,4,9,8,A,0,55.0,F,H,81018.0
0,11.0,3,15,0,5,15.0,13.67,10.47,11.67,17,124,13,35,69,6,6,31,S,1,87.0,M,H,81018.0
1,11.0,0,1,0,0,15.0,0.0,15.0,11.67,23,23,8,29,13,5,3,5,N,0,59.0,F,U,81018.0
0,11.0,4,6,3,3,6.0,7.75,7.17,6.67,19,32,12,29,29,6,15,13,S,1,73.0,F,H,52611.0
0,11.0,2,5,1,4,20.0,17.5,11.6,20.0,20,53,13,34,41,6,16,17,A,1,38.0,M,H,52611.0
0,11.0,3,12,1,3,10.0,7.67,6.83,5.0,18,105,13,33,58,6,17,25,A,0,77.0,M,U,44284.5
0,11.0,4,8,3,4,14.0,14.0,11.0,14.33,21,75,13,29,49,6,14,19,A,0,0.0,M,U,54622.0
0,11.0,6,20,3,13,9.0,7.67,6.15,6.67,17,126,12,39,77,5,18,33,F,1,60.0,M,H,90636.0
0,11.0,1,11,0,4,14.0,13.0,10.0,11.67,18,86,13,35,65,6,6,25,A,0,71.0,F,H,88668.0
1,11.0,2,6,2,4,14.0,13.0,10.0,11.0,17,76,13,31,54,6,16,21,A,0,50.0,M,H,88668.0
1,11.0,1,22,0,7,20.0,15.0,22.18,11.67,17,126,12,29,102,5,3,18,A,1,79.0,M,H,88668.0
0,11.0,1,3,0,2,15.0,15.0,11.67,11.67,26,44,9,28,32,4,4,13,A,0,55.0,F,H,64856.0
1,11.0,4,13,2,8,25.0,22.5,14.38,22.5,15,102,14,36,69,6,17,28,A,1,50.0,F,H,64856.0
0,11.0,2,11,2,7,28.0,22.0,12.09,22.0,25,79,13,35,60,6,17,24,A,1,52.0,F,H,64856.0
1,11.0,1,12,0,5,10.0,10.0,13.25,11.67,18,86,13,35,65,6,6,26,S,1,52.0,F,H,68375.0
0,11.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,8,18,16,5,7,6,N,0,60.0,F,U,44284.5
0,11.0,1,9,1,4,20.0,20.0,12.33,20.0,21,89,12,32,64,6,16,24,A,1,60.0,M,U,69585.0
0,11.0,4,4,2,2,16.0,11.5,11.5,10.0,18,36,12,33,32,6,16,14,A,1,68.0,F,H,69585.0
1,11.0,5,10,5,6,10.0,8.4,7.4,8.4,18,76,12,40,57,6,16,20,A,0,67.0,F,U,69585.0
0,11.0,1,5,0,1,15.0,15.0,10.2,11.67,18,64,14,30,54,4,4,18,A,0,65.0,M,H,64459.0
0,11.0,2,2,2,2,15.0,12.5,12.5,12.5,17,24,12,17,15,4,9,7,N,0,83.0,F,H,64459.0
0,11.0,1,7,0,3,20.0,20.0,7.43,11.67,25,114,10,23,56,4,4,18,A,0,60.0,M,U,44284.5
0,11.0,1,1,1,1,20.0,20.0,20.0,20.0,20,20,10,17,15,4,7,6,F,0,63.0,F,H,47135.0
0,11.0,2,2,2,2,14.0,13.0,10.0,11.0,16,25,14,27,24,6,12,10,N,0,57.0,F,H,70339.0
1,11.0,4,18,3,13,5.0,4.75,3.72,5.67,17,128,12,27,67,5,13,28,S,1,81.0,F,U,70339.0
0,11.0,6,17,2,8,17.0,15.67,13.59,16.0,16,104,14,36,70,6,17,29,S,1,72.0,M,H,70339.0
1,11.0,2,3,1,2,20.0,20.0,16.67,20.0,15,35,13,27,25,5,11,11,A,0,60.0,F,U,44284.5
1,11.0,5,13,3,5,20.0,22.4,18.46,22.33,15,89,14,34,65,6,17,25,A,1,58.0,F,H,55087.0
0,11.0,3,3,1,1,25.0,19.33,19.33,13.0,18,29,14,28,25,6,13,11,A,0,60.0,M,U,49203.0
0,11.0,2,6,0,3,15.0,13.0,10.17,11.67,18,69,12,36,56,5,5,17,A,0,60.0,M,U,80479.0
0,11.0,3,6,1,2,4.0,23.33,13.83,20.0,20,41,12,32,35,6,16,16,A,0,70.0,M,H,48019.0
0,11.0,1,1,1,1,25.0,25.0,25.0,11.0,21,21,11,18,16,5,8,7,N,0,25.0,M,H,62339.0
0,11.0,6,12,2,5,15.0,13.83,12.08,12.5,18,53,13,35,46,6,17,19,A,1,64.0,F,H,44284.5
0,11.0,2,6,0,1,15.0,15.0,13.67,11.67,26,76,9,28,50,4,4,18,A,0,68.0,F,H,91382.0
1,11.0,3,6,2,3,20.0,16.67,13.33,15.0,26,65,10,32,44,5,16,17,A,0,60.0,U,U,91382.0
1,11.0,2,6,1,2,15.0,11.0,7.17,7.0,16,96,12,27,51,5,11,20,A,0,49.0,M,H,91382.0
0,11.0,1,5,0,2,15.0,15.0,21.0,11.67,25,124,9,27,48,4,4,21,A,0,60.0,M,H,91382.0
1,11.0,1,5,0,2,15.0,15.0,9.2,11.67,18,92,10,27,39,4,4,15,A,0,60.0,F,U,44284.5
0,11.0,3,11,2,4,25.0,16.67,16.73,17.5,18,52,13,33,47,6,17,19,A,1,31.0,M,U,44284.5
0,11.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,12,17,15,5,7,6,N,0,63.0,M,H,72339.0
0,11.0,3,26,2,15,10.0,8.33,7.15,9.0,21,122,12,30,78,5,13,30,A,1,72.0,F,H,72339.0
1,11.0,3,16,1,10,3.0,3.17,3.22,3.21,18,53,14,33,45,6,17,19,S,1,30.0,M,U,44284.5
1,11.0,4,7,3,5,11.0,10.75,9.0,10.33,23,65,12,28,43,6,13,16,A,0,55.0,F,H,72339.0
0,11.0,3,7,3,7,5.0,9.0,7.0,9.0,16,76,13,31,55,5,12,18,S,1,56.0,F,H,72339.0
1,11.0,1,8,1,4,16.0,16.0,11.13,16.0,20,75,13,31,52,6,14,21,A,1,47.0,M,H,72339.0
0,11.0,3,22,5,12,3.0,4.25,3.55,4.6,20,77,12,28,54,4,15,22,S,1,75.0,U,H,72339.0
0,11.0,2,10,0,5,15.0,13.5,11.9,11.67,18,124,13,33,62,6,6,29,A,1,45.0,F,H,72339.0
1,11.0,3,9,1,5,8.0,8.63,7.62,8.57,20,130,10,32,83,5,16,32,S,1,45.0,F,H,72339.0
1,11.0,2,12,1,7,18.0,17.0,9.67,18.0,17,128,16,37,83,6,16,31,A,1,73.0,M,U,44284.5
0,11.0,1,2,0,0,16.0,16.0,13.0,11.67,18,37,10,24,23,4,4,9,A,0,46.0,F,U,76959.0
1,11.0,1,7,0,3,15.0,15.0,8.43,11.67,25,92,9,29,54,4,4,23,A,0,40.0,F,H,76959.0
0,11.0,1,1,1,1,25.0,25.0,25.0,11.0,17,17,11,16,14,5,7,6,F,0,60.0,F,U,95776.0
0,11.0,2,13,0,5,14.0,13.0,10.0,11.67,17,126,12,29,100,5,8,38,A,0,60.0,M,H,95776.0
1,11.0,1,7,0,2,16.0,16.0,15.86,11.67,20,84,15,30,60,4,4,18,A,0,79.0,F,H,93770.0
1,11.0,3,9,5,19,5.0,5.0,5.0,5.0,18,57,12,29,88,5,22,23,A,0,60.0,F,U,44284.5
1,11.0,6,20,2,10,3.0,4.83,3.25,5.0,19,113,14,35,63,6,17,26,S,1,60.0,F,U,44284.5
0,11.0,1,6,0,3,20.0,20.0,13.67,11.67,26,81,9,26,52,4,4,19,A,1,75.0,U,H,88147.0
1,11.0,1,13,0,7,18.0,18.0,12.62,11.67,24,92,11,30,69,5,5,24,A,1,49.0,F,U,88147.0
0,11.0,2,2,1,1,20.0,15.0,15.0,20.0,24,32,9,24,23,4,10,9,A,0,53.0,M,H,88147.0
1,11.0,2,5,1,2,25.0,20.0,19.4,20.0,18,40,12,34,36,5,16,15,A,0,82.0,F,H,76673.0
1,11.0,5,14,4,11,5.0,6.4,5.36,6.75,17,122,13,31,65,6,14,28,A,1,51.0,M,H,122155.0
1,11.0,1,6,1,2,20.0,25.0,10.0,11.0,18,44,15,35,40,6,17,17,A,1,60.0,F,U,44284.5
1,11.0,1,7,0,4,15.0,15.0,10.71,11.67,24,73,11,30,51,5,5,20,A,0,46.0,M,H,51904.0
1,11.0,1,9,1,14,25.0,28.0,15.85,11.0,14,122,12,29,49,7,17,33,A,1,83.0,F,U,44284.5
0,11.0,3,13,3,8,15.0,15.0,12.62,15.0,18,119,12,38,82,6,16,26,A,0,75.0,F,H,51904.0
1,11.0,3,9,1,18,27.0,22.69,17.8,22.5,18,91,14,35,72,6,17,27,S,1,44.0,F,U,44284.5
0,11.0,2,5,1,2,10.0,15.0,11.0,10.0,17,105,11,24,47,5,11,18,A,0,22.0,F,H,46071.0
0,11.0,7,26,2,11,10.0,8.57,7.31,7.5,18,130,14,36,81,6,17,32,A,1,79.0,F,H,46071.0
0,11.0,1,7,0,4,20.0,20.0,10.14,11.67,17,74,13,28,49,6,6,20,A,0,73.0,M,H,46071.0
0,11.0,4,7,3,4,10.0,9.25,9.57,10.67,16,44,14,33,37,6,15,15,A,1,60.0,M,H,46250.0
1,11.0,1,4,1,2,17.0,17.0,12.0,17.0,15,85,10,24,46,4,9,15,A,0,58.0,F,H,46250.0
0,11.0,2,3,1,1,10.0,7.5,6.67,5.0,17,22,11,19,17,5,9,8,N,0,63.0,F,H,56172.0
1,11.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,29,13,4,6,5,F,0,47.0,F,H,52613.0
0,11.0,2,3,2,2,5.0,10.0,8.33,10.0,19,24,11,20,19,5,9,8,N,0,80.0,F,U,65726.0
0,11.0,1,2,0,1,15.0,15.0,12.5,11.67,26,52,9,23,31,4,4,12,A,0,69.0,M,U,65726.0
0,11.0,3,4,2,3,21.0,19.33,17.0,23.0,21,37,12,30,30,6,15,14,A,0,45.0,M,H,78804.0
0,11.0,7,11,5,7,5.0,7.57,7.45,7.6,17,57,13,35,46,6,17,19,S,1,71.0,M,U,52266.0
0,11.0,2,2,1,1,15.0,10.0,10.0,5.0,15,27,9,20,18,5,8,7,N,0,59.0,F,H,66631.0
1,11.0,2,3,0,1,20.0,15.0,12.0,11.67,18,56,14,27,35,6,6,12,A,0,60.0,F,U,44284.5
0,11.0,1,2,0,0,20.0,20.0,20.0,11.67,19,20,13,20,18,6,6,7,N,0,72.0,F,U,37529.0
1,11.0,2,25,0,8,14.0,19.0,13.24,11.67,18,126,12,29,114,5,8,33,A,1,81.0,F,H,70936.0
1,11.0,1,5,1,3,20.0,20.0,16.4,20.0,21,88,10,24,51,4,10,19,A,1,52.0,M,H,74592.0
0,11.0,2,7,1,3,20.0,15.0,10.71,10.0,26,130,12,29,57,5,13,24,A,0,42.0,M,U,44284.5
0,11.0,4,16,1,6,8.0,8.25,7.69,9.0,15,90,12,32,62,5,14,25,S,1,74.0,M,H,55028.0
0,11.0,2,2,1,1,20.0,12.5,12.5,20.0,15,15,10,29,12,4,6,5,N,0,60.0,F,U,44284.5
1,11.0,4,19,3,17,9.0,8.0,7.89,9.0,17,130,11,25,77,5,11,28,S,1,47.0,F,H,44714.0
0,11.0,1,4,0,1,15.0,15.0,11.0,11.67,26,57,10,27,39,4,4,14,A,0,47.0,F,H,67436.0
0,11.0,3,9,2,6,14.0,13.0,21.67,11.0,21,89,13,33,57,6,16,25,S,1,75.0,M,U,67436.0
0,11.0,2,10,1,4,15.0,13.0,7.4,11.0,18,76,10,21,48,4,9,17,A,1,60.0,F,U,44284.5
0,11.0,1,10,0,5,15.0,15.0,9.5,11.67,26,75,10,31,53,5,5,22,A,1,49.0,F,H,71285.0
0,11.0,2,12,1,7,5.0,10.0,6.17,5.0,22,87,11,30,58,4,12,21,S,1,60.0,F,U,44284.5
0,11.0,4,4,3,3,25.0,18.25,18.25,19.33,17,33,14,32,31,6,15,13,A,0,33.0,M,H,71285.0
1,11.0,5,23,2,13,10.0,8.8,8.22,8.5,18,112,12,42,88,7,16,31,S,1,84.0,F,U,65500.0
1,11.0,3,5,3,3,30.0,23.33,25.0,11.0,15,26,16,29,26,6,12,10,N,1,68.0,F,H,69583.0
0,11.0,2,3,2,2,11.0,6.0,7.67,6.0,19,24,12,23,23,6,11,9,N,0,60.0,M,U,44284.5
1,11.0,4,17,2,9,5.0,4.0,3.06,4.0,17,67,11,28,44,5,13,19,S,1,67.0,F,U,80172.0
1,11.0,2,7,1,3,25.0,25.0,18.71,11.0,18,64,15,34,55,6,15,20,A,0,60.0,F,U,44284.5
1,11.0,5,17,3,9,8.0,8.2,6.59,7.67,18,77,11,30,57,5,14,22,S,1,56.0,F,H,61831.0
1,11.0,3,9,6,5,5.0,5.0,4.42,5.0,18,128,12,29,49,7,18,38,S,1,77.0,F,U,61831.0
1,11.0,5,7,3,4,5.0,5.0,5.0,5.0,17,33,12,29,30,6,15,13,A,1,47.0,F,H,69121.0
1,11.0,4,4,2,2,10.0,8.75,8.75,7.5,16,29,13,26,23,6,12,10,A,0,61.0,F,H,69121.0
1,11.0,4,13,3,10,4.0,4.75,4.08,5.0,17,81,11,31,55,6,15,22,S,1,60.0,F,H,60273.0
0,11.0,2,7,0,2,25.0,17.5,10.71,11.67,18,85,13,32,55,6,6,22,A,0,83.0,F,H,60273.0
0,11.0,3,9,2,5,15.0,10.67,9.67,12.5,17,91,14,34,60,6,16,25,A,0,63.0,M,U,44284.5
1,11.0,1,7,0,3,15.0,15.0,9.86,11.67,19,105,12,22,46,4,4,18,A,0,60.0,M,U,60273.0
1,11.0,4,18,3,11,8.0,6.5,5.44,6.33,16,129,13,29,59,5,11,22,S,1,70.0,F,U,53341.0
0,11.0,4,14,1,4,10.0,13.0,10.86,16.0,17,111,12,41,90,5,17,39,A,0,48.0,F,H,62793.0
0,11.0,1,1,0,0,15.0,15.0,15.0,11.67,16,16,10,29,12,4,4,4,F,0,60.0,M,U,44284.5
0,11.0,3,13,0,5,10.0,8.33,8.46,11.67,18,89,13,35,64,6,6,25,S,1,84.0,F,H,77654.0
1,11.0,3,10,0,2,12.0,11.33,9.5,11.67,16,53,13,33,46,6,6,19,S,1,72.0,F,U,91659.0
1,11.0,1,1,1,1,20.0,20.0,20.0,20.0,17,17,11,16,14,5,7,6,F,0,37.0,F,H,61655.0
1,11.0,1,2,1,1,15.0,15.0,12.5,15.0,20,44,10,24,28,4,9,10,A,0,51.0,F,H,61655.0
0,11.0,4,12,2,6,15.0,13.75,14.75,12.5,15,80,13,34,66,6,16,26,A,1,37.0,F,H,61655.0
0,11.0,2,9,1,13,10.0,10.0,8.21,10.0,15,113,12,29,61,5,8,22,S,1,60.0,M,H,61655.0
0,11.0,2,3,2,3,25.0,25.0,25.0,11.0,24,41,11,33,35,6,17,16,A,0,60.0,F,U,61655.0
1,11.0,3,13,2,9,11.0,11.0,8.62,11.0,19,88,12,41,80,6,15,23,S,1,71.0,M,H,56942.0
1,11.0,2,12,0,5,14.0,13.0,10.0,11.67,18,125,12,29,87,6,6,31,A,1,60.0,M,U,44284.5
0,11.0,2,3,2,3,20.0,14.5,10.67,14.5,19,40,12,28,28,6,14,13,A,0,29.0,F,H,86282.0
1,11.0,1,1,1,1,25.0,25.0,25.0,11.0,19,19,9,29,10,4,7,5,F,0,60.0,F,H,86282.0
